Operator = {0,1,2,3,4,5,6,7,8,9};
Competence = {0,1,2,3,4,5,6};
demand = [454,0,747,442,0,13,1048];
hourlyAvailability = [1485.12,1485.12,1485.12,1485.12,1485.12,1485.12,1485.12,1485.12,1485.12,1485.12];
minOperator = [2,2,2,2,2,3,3];
maxOperator = [2,2,2,2,2,4,4];
minVersatility = 1;
maxVersatility = 10;
ratioSkills = [1.0,0.95,0.8,0.6,0.5,0.35,0.3,0.2,0.15,0.1];
timeRatio = 0;
compatibility = [[1,1,1,1,1,1,1],[1,1,1,1,1,1,1],[1,1,1,1,1,1,1],[1,1,1,1,1,1,1],[1,1,1,1,1,1,1],[1,1,1,1,1,1,1],[1,1,1,1,1,1,1]];
